property_id,status,description,location,branding
8096143892,for_sale,"{""baths_consolidated"": ""2"", ""baths_max"": null, ""baths_min"": null, ""beds"": 3, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 7732, ""name"": null, ""sold_date"": ""2014-09-25"", ""sold_price"": null, ""sqft"": 1936, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.658928, ""lon"": -95.328782}, ""line"": ""5875 Reed Rd"", ""postal_code"": ""77033"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5875%20Reed%20Rd%2C%20Houston%2C%20TX%2077033&size=640x480&source=outdoor&signature=yae0vWYUdbfxUj-LTQ_mIj0srMI=""}","[{""name"": ""CLARK REALTY"", ""photo"": null, ""type"": ""Office""}]"
8688944611,for_sale,"{""baths_consolidated"": ""1"", ""baths_max"": null, ""baths_min"": null, ""beds"": 4, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 6050, ""name"": null, ""sold_date"": null, ""sold_price"": null, ""sqft"": 1120, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.64637, ""lon"": -95.379171}, ""line"": ""3017 Nita St"", ""postal_code"": ""77051"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3017%20Nita%20St%2C%20Houston%2C%20TX%2077051&size=640x480&source=outdoor&signature=9Fj7vOICAj0VMSl2f1Bl2LbjbNI=""}","[{""name"": ""Sierra Vista Realty Llc"", ""photo"": null, ""type"": ""Office""}]"
7007697913,for_sale,"{""baths_consolidated"": ""2"", ""baths_max"": null, ""baths_min"": null, ""beds"": 3, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 622037, ""name"": null, ""sold_date"": ""2019-03-11"", ""sold_price"": null, ""sqft"": 1380, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": ""condo"", ""type"": ""condos""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.745795, ""lon"": -95.537268}, ""line"": ""2100 Tanglewilde St Apt 750"", ""postal_code"": ""77063"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2100%20Tanglewilde%20St%20Apt%20750%2C%20Houston%2C%20TX%2077063&size=640x480&source=outdoor&signature=PBIttrELBfCaCIBumkK_57RlsF0=""}","[{""name"": ""CLARK REALTY"", ""photo"": null, ""type"": ""Office""}]"
8292582121,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 3, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 3363, ""name"": null, ""sold_date"": ""2007-10-30"", ""sold_price"": null, ""sqft"": 2592, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.971579, ""lon"": -95.466727}, ""line"": ""12511 Silver Cup"", ""postal_code"": ""77014"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=12511%20Silver%20Cup%2C%20Houston%2C%20TX%2077014&size=640x480&source=outdoor&signature=VdlgSvo4LIxxK3Y7yE_nlcVHyXk=""}","[{""name"": ""Real Broker, LLC"", ""photo"": null, ""type"": ""Office""}]"
7080259135,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 3, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 2614, ""name"": null, ""sold_date"": ""2022-09-13"", ""sold_price"": null, ""sqft"": 1904, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": ""townhouse"", ""type"": ""townhomes""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.943921, ""lon"": -95.495102}, ""line"": ""11532 Champions Green Dr"", ""postal_code"": ""77066"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11532%20Champions%20Green%20Dr%2C%20Houston%2C%20TX%2077066&size=640x480&source=outdoor&signature=OblswZ-HjWI7EXcHQvH8al88flM=""}","[{""name"": ""CLARK REALTY"", ""photo"": null, ""type"": ""Office""}]"
7040505853,for_sale,"{""baths_consolidated"": ""2"", ""baths_max"": null, ""baths_min"": null, ""beds"": 3, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 8686, ""name"": null, ""sold_date"": null, ""sold_price"": null, ""sqft"": 1467, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.599155, ""lon"": -95.497275}, ""line"": ""7406 W Fuqua Dr"", ""postal_code"": ""77489"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48157"", ""name"": ""Fort Bend""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7406%20W%20Fuqua%20Dr%2C%20Houston%2C%20TX%2077489&size=640x480&source=outdoor&signature=z1C915W5NCV0lFa57bYd5bRV_jM=""}","[{""name"": ""Connect Realty"", ""photo"": null, ""type"": ""Office""}]"
9934882170,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 3, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 1525, ""name"": null, ""sold_date"": null, ""sold_price"": null, ""sqft"": 1717, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.798467, ""lon"": -95.352569}, ""line"": ""1515 Egypt St"", ""postal_code"": ""77009"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1515%20Egypt%20St%2C%20Houston%2C%20TX%2077009&size=640x480&source=outdoor&signature=BCZ0cwRLEyxCm5-ugOWlhxwA_Gs=""}","[{""name"": ""The Agency Team"", ""photo"": null, ""type"": ""Office""}]"
8365520223,for_sale,"{""baths_consolidated"": ""3.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 4, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 8969, ""name"": null, ""sold_date"": ""2023-06-23"", ""sold_price"": null, ""sqft"": 2919, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 30.019599, ""lon"": -95.464327}, ""line"": ""1815 Wagon Gap Trl"", ""postal_code"": ""77090"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1815%20Wagon%20Gap%20Trl%2C%20Houston%2C%20TX%2077090&size=640x480&source=outdoor&signature=3lAx5ej-5uMyfpCJp8U83R1C484=""}","[{""name"": ""Signature Real Estate"", ""photo"": null, ""type"": ""Office""}]"
8299016260,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 4, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 6721, ""name"": null, ""sold_date"": ""1992-05-15"", ""sold_price"": null, ""sqft"": 2032, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.684055, ""lon"": -95.615913}, ""line"": ""8622 Humphreys Dr"", ""postal_code"": ""77083"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8622%20Humphreys%20Dr%2C%20Houston%2C%20TX%2077083&size=640x480&source=outdoor&signature=xpOQwF43tg5gmNTSubEEouwfkb8=""}","[{""name"": ""A.M. Real Estate"", ""photo"": null, ""type"": ""Office""}]"
8479896123,for_sale,"{""baths_consolidated"": ""2"", ""baths_max"": null, ""baths_min"": null, ""beds"": 3, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 2178, ""name"": null, ""sold_date"": ""2022-05-09"", ""sold_price"": null, ""sqft"": 2026, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": ""townhouse"", ""type"": ""townhomes""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.90272, ""lon"": -95.306463}, ""line"": ""5715 Easthampton Dr Unit A"", ""postal_code"": ""77039"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5715%20Easthampton%20Dr%20Unit%20A%2C%20Houston%2C%20TX%2077039&size=640x480&source=outdoor&signature=VZ5uvUS6F_2wA7JrHdRUuzp7epQ=""}","[{""name"": ""Exp Realty LLC"", ""photo"": null, ""type"": ""Office""}]"
