Price,Year,Mileage_in_KM,Transmission,Fuel_Type,Title,City_standard,Make_extracted,Model_extracted
1475000,2025.0,0.0,Automatic,Gas,Mitsubishi Eclipse Cross,Unknown,Mitsubishi,Eclipse Cross
2550000,2022.0,43000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
3100000,2022.0,60000.0,Automatic,Gas,Mercedes C 200,Cairo,Mercedes,C 200
1190000,2013.0,140000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
775000,2026.0,0.0,Automatic,Gas,Nissan Sunny,Unknown,Nissan,Sunny
590000,2021.0,114000.0,Automatic,Gas,Hyundai Accent RB,Cairo,Hyundai,Accent RB
425000,2015.0,100000.0,Automatic,Gas,Nissan Sunny,Cairo,Nissan,Sunny
2600000,2023.0,35000.0,Automatic,Diesel,Mercedes GLA 200,Minya,Mercedes,GLA 200
1550000,2025.0,24000.0,Automatic,Gas,Skoda Octavia,Cairo,Skoda,Octavia
3100000,2026.0,7000.0,Automatic,Gas,BMW X1,Cairo,BMW,X1
770000,2016.0,79000.0,Automatic,Gas,Kia Cerato,Giza,Kia,Cerato
390000,2019.0,245000.0,Automatic,Gas,Renault Logan,Cairo,Renault,Logan
48000,2000.0,77000.0,Manual,Diesel,Lada Oka,Cairo,Lada,Oka
575000,2020.0,149000.0,Automatic,Gas,Peugeot 301,Unknown,Peugeot,301
515000,2015.0,115000.0,Automatic,Gas,Chevrolet Cruze,Cairo,Chevrolet,Cruze
630000,2025.0,80000.0,Automatic,Gas,Nissan Sunny,Giza,Nissan,Sunny
510000,2015.0,270000.0,Automatic,Gas,Opel Astra,Cairo,Opel,Astra
800000,2015.0,150000.0,Automatic,Gas,Mini Cooper,Cairo,Mini,Cooper
1980000,2020.0,148000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
170000,2013.0,300000.0,Manual,Natural Gas,Chevrolet Lanos,Cairo,Chevrolet,Lanos
440000,2014.0,160000.0,Automatic,Gas,Chevrolet Cruze,Cairo,Chevrolet,Cruze
2100000,2025.0,0.0,Automatic,Electric,Mercedes EQA 260,Unknown,Mercedes,EQA 260
1650000,2025.0,0.0,Automatic,Gas,Mitsubishi Eclipse,Unknown,Mitsubishi,Eclipse
620000,2017.0,138000.0,Automatic,Gas,Opel Astra,Cairo,Opel,Astra
440000,2016.0,230000.0,Automatic,Diesel,Peugeot 301,Unknown,Peugeot,301
1000000,2021.0,70000.0,Automatic,Natural Gas,Fiat 500,Giza,Fiat,500
470000,2008.0,280000.0,Automatic,Gas,Mercedes B 150,Giza,Mercedes,B 150
840000,2019.0,125000.0,Automatic,Gas,Hyundai Elantra,Cairo,Hyundai,Elantra
900000,2019.0,220000.0,Automatic,Gas,Ford Kuga,Giza,Ford,Kuga
300000,2012.0,0.0,Manual,Natural Gas,Hyundai Verna,Qalyubia,Hyundai,Verna
630000,2023.0,12000.0,Automatic,Gas,Mitsubishi Attrage,Cairo,Mitsubishi,Attrage
990000,2026.0,0.0,Automatic,Gas,Hyundai Elantra,Unknown,Hyundai,Elantra
349000,2007.0,200000.0,Automatic,Gas,Toyota Yaris,Sharqia,Toyota,Yaris
825000,2013.0,170000.0,Automatic,Gas,Hyundai Tucson,Cairo,Hyundai,Tucson
600000,2009.0,265000.0,Automatic,Diesel,Volkswagen Passat,Giza,Volkswagen,Passat
2350000,2020.0,65000.0,Automatic,Gas,Mercedes C 200,Cairo,Mercedes,C 200
930000,2018.0,200000.0,Automatic,Gas,Subaru XV,Cairo,Subaru,XV
3100000,2020.0,58000.0,Automatic,Gas,Mercedes E 200,Giza,Mercedes,E 200
699000,2026.0,0.0,Automatic,Gas,Chery Arrizo 5,Unknown,Chery,Arrizo 5
1950000,2020.0,90000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
2100000,2024.0,18000.0,Automatic,Gas,Audi Q3,Cairo,Audi,Q3
950000,2018.0,115000.0,Automatic,Gas,Opel Grandland,Cairo,Opel,Grandland
530000,2017.0,195000.0,Automatic,Gas,Mazda 2,Cairo,Mazda,2
530000,2012.0,320000.0,Automatic,Gas,Nissan Qashqai,Giza,Nissan,Qashqai
680000,2026.0,0.0,Automatic,Gas,Nissan Sunny,Unknown,Nissan,Sunny
900000,2018.0,100000.0,Automatic,Gas,Opel Grandland,Cairo,Opel,Grandland
600000,2021.0,45000.0,Automatic,Gas,Peugeot 301,Alexandria,Peugeot,301
900000,2025.0,24000.0,Automatic,Gas,MG ZS,Alexandria,MG,ZS
290000,2008.0,350000.0,Manual,Gas,Volkswagen Suran,Alexandria,Volkswagen,Suran
1150000,2025.0,5000.0,Automatic,Gas,Haval Jolion Pro,Giza,Haval,Jolion Pro
800000,2021.0,9999.0,Manual,Electric,Audi A5,Luxor,Audi,A5
450000,2017.0,165000.0,Automatic,Diesel,Renault Logan,Red Sea,Renault,Logan
775000,2024.0,20000.0,Automatic,Gas,Chery Tiggo 3,Gharbia,Chery,Tiggo 3
810000,2015.0,162000.0,Automatic,Gas,Opel Insignia,Cairo,Opel,Insignia
870000,2023.0,78000.0,Automatic,Gas,Renault Megane,Cairo,Renault,Megane
850000,2019.0,70000.0,Automatic,Gas,Mazda 3,Cairo,Mazda,3
595000,2021.0,145000.0,Automatic,Gas,Citroën C Elysee,Cairo,Citroën,C Elysee
520000,2013.0,57003.0,Automatic,Gas,Kia Picanto,Cairo,Kia,Picanto
450000,2021.0,231211.0,Automatic,Gas,Chery Arrizo 5,Cairo,Chery,Arrizo 5
2825000,2025.0,0.0,Automatic,Hybrid,Kia Carnival MPV,Unknown,Kia,Carnival MPV
100000,2006.0,219999.0,Automatic,Diesel,Toyota Yaris,Cairo,Toyota,Yaris
90000,1978.0,200000.0,Manual,Diesel,Fiat 132,Gharbia,Fiat,132
