Price,Year,Mileage_in_KM,Transmission,City,Fuel_Type,Title
1650000,2026,0,Automatic,Kia,Gas,Kia K4 2026
5500000,2024,0,Automatic,Porsche,Gas,Porsche Boxster 2024
1700000,2024,0,Automatic,Opel,Gas,Opel Grandland 2024
3280000,2025,0,Automatic,Mercedes,Gas,Mercedes C 180 2025
3650000,2021,30000,Automatic,"Heliopolis, Cairo",Gas,Mercedes E 200 2021
2850000,2024,20000,Automatic,"Heliopolis, Cairo",Gas,Mercedes C 180 2024
2450000,2020,119000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mercedes C 200 2020
7600000,2026,0,Automatic,Mercedes,Gas,Mercedes Viano 2026
3200000,2025,9700,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mercedes C 180 2025
2450000,2023,12000,Automatic,"Heliopolis, Cairo",Gas,Skoda Kodiaq 2023
1350000,2026,0,Automatic,Citroën,Gas,Citroën C4X 2026
1100000,2021,113000,Automatic,"Al Shorouk, Cairo",Gas,Opel Grandland 2021
565000,2010,176000,Automatic,"Nasr city, Cairo",Gas,Kia Cerato 2010
160000,1994,200000,Manual,Cairo,Gas,Peugeot 405 1994
210000,,,,Cairo,,Fiat Siena 2001
285000,2008,400000,Automatic,Red Sea,Gas,Nissan Sunny 2008
190000,2008,180000,Manual,Cairo,Gas,Suzuki Van 2008
750000,2014,141000,Automatic,"Maadi, Cairo",Gas,Nissan Qashqai 2014
270000,,,,"Tagamo3 - New Cairo, Cairo",,Opel Vectra 2000
370000,2006,162000,Automatic,"Abu Qir, Alexandria",Gas,Renault Megane 2006
750000,2021,76000,Automatic,"6 October, Giza",Gas,Fiat Tipo 2021
735000,2013,178000,Automatic,"Nasr city, Cairo",Gas,Toyota Corolla 2013
500000,2011,250000,Automatic,Cairo,Gas,Hyundai Elantra HD 2011
680000,2010,191000,Automatic,Beni Suef,Gas,Kia Forte 2010
620000,2025,73000,Manual,Giza,Gas,Byd F3 2025
1500000,2024,40000,Automatic,"6 October, Giza",Gas,Gmc Terrain 2024
600000,2004,250000,Automatic,"Heliopolis, Cairo",Gas,Mercedes C 180 2004
3400000,2023,5000,Automatic,Cairo,Gas,BMW IX3 2023
650000,2026,8600,Automatic,"Sheikh Zayed City, Giza",Gas,Nissan Sunny 2026
790000,2022,94000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Citroën C3 Aircross 2022
1770000,2016,95000,Automatic,"Heliopolis, Cairo",Gas,BMW X3 2016
800000,2020,250000,Automatic,Cairo,Gas,Chevrolet Captiva 2020
400000,2004,100000,Automatic,"Belqas, Dakahlia",Gas,Toyota Corolla 2004
650000,2016,90000,Automatic,Alexandria,Gas,Kia Rio 2016
1300000,2022,96700,Automatic,Cairo,Gas,Opel Grandland 2022
1000000,2025,11600,Automatic,"6 October, Giza",Gas,Hyundai Elantra 2025
260000,1996,180000,Automatic,Cairo,Gas,Ford Taurus 1996
300000,2017,500000,Manual,"Tagamo3 - New Cairo, Cairo",Gas,Geely Emgrand 7 2017
480000,2009,260000,Automatic,"Maadi, Cairo",Gas,Mitsubishi Lancer 2009
380000,2017,160000,Automatic,Cairo,Gas,Chevrolet Aveo 2017
1470000,2026,0,Automatic,Toyota,Gas,Toyota Corolla 2026
880000,2026,0,Automatic,Nissan,Gas,Nissan Sentra 2026
2650000,2023,17000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Audi A5 2023
940000,2026,0,Automatic,Geely,Gas,Geely Emgrand 2026
770000,2026,0,Automatic,Nissan,Gas,Nissan Sunny 2026
955000,2026,0,Automatic,Fiat,Gas,Fiat 500 X 2026
1650000,2026,0,Automatic,Baic,Gas,Baic BJ30 2026
2450000,2024,0,Automatic,Skoda,Gas,Skoda Kodiaq 2024
775000,2026,0,Automatic,Nissan,Gas,Nissan Sunny 2026
1190000,2025,0,Automatic,Seat,Gas,Seat Arona 2025
1450000,2021,50000,Automatic,"Nasr city, Cairo",Gas,Hyundai Tucson 2021
790000,2024,26000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Hyundai Accent RB 2024
750000,2018,200000,Automatic,"El Haram, Giza",Gas,Kia Cerato 2018
700000,2024,12700,Automatic,"Mokattam, Cairo",Gas,Nissan Sunny 2024
1590000,2022,30000,Automatic,"Tagamo3 - New Cairo, Cairo",Electric,Volkswagen ID 6 2022
450000,2016,107000,Automatic,"Nasr city, Cairo",Gas,Renault Logan 2016
1750000,2021,60000,Automatic,"6 October, Giza",Gas,Audi Q3 2021
935000,2021,113000,Automatic,"Nasr city, Cairo",Gas,Kia Grand Cerato 2021
3500000,2024,4000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mercedes C 180 2024
180000,2002,260000,Manual,"Mokattam, Cairo",Gas,Renault Clio 2002
